34;114.12297,22.557882,114.12213,22.557583,114.121414,22.55788,114.12127,22.558128,114.12122,22.558252,114.12116,22.55837,114.1211,22.55858,114.12103,22.558832,114.12031,22.55972,114.11973,22.56084,114.12043,22.56117,114.12207,22.561832,114.12238,22.56276,114.122314,22.563969,114.12211,22.564861,114.122314,22.563969,114.12195,22.566393,114.12095,22.566868,114.120056,22.566694,114.119316,22.565544,114.11825,22.565966,114.11796,22.567972,114.117874,22.569973,114.11848,22.570873,114.120094,22.571005,114.12137,22.57145,114.1219,22.57163,114.12185,22.571712,114.12334,22.572111,114.12524,22.572895,114.12627,22.573694,114.127,22.574183,114.12784,22.57479,114.12849,22.574905,114.12995,22.5749,114.13161,22.574713
17;113.98965,22.556387,113.98757,22.556505,113.986946,22.556555,113.98692,22.55655,113.98559,22.55631,113.98545,22.556223,113.98559,22.55631,113.98695,22.55649,113.98897,22.556387,113.99085,22.556767,113.99246,22.557133,113.9943,22.556452,113.99675,22.555746,114.00006,22.555641,114.003296,22.555758,114.00623,22.556787,114.00921,22.55797,114.01206,22.55902,114.0144,22.559708
32;114.03736,22.562761,114.03994,22.563269,114.0414,22.562948,114.04021,22.5633,114.03907,22.56563,114.03747,22.565788,114.03616,22.56653,114.03556,22.567814,114.036934,22.568457,114.03855,22.569256,114.03804,22.57022,114.03735,22.571165,114.03751,22.571987,114.03861,22.572666,114.03949,22.571478,114.03986,22.570438,114.04008,22.569923,114.04009,22.569918,114.04071,22.569927,114.04216,22.570461,114.04009,22.569918,114.04372,22.57055,114.04541,22.57125,114.04743,22.571182,114.04841,22.571077,114.04945,22.571087,114.05078,22.571142,114.05278,22.571053,114.05412,22.570896,114.05409,22.569178,114.05414,22.567698,114.054794,22.567402,114.0563,22.568043,114.05734,22.568592
11;114.067795,22.547873,114.06781,22.547464,114.06791,22.545172,114.06747,22.542635,114.06797,22.539982,114.067474,22.538738,114.066055,22.53839,114.06461,22.537779,114.06399,22.537743,114.063995,22.537754,114.06461,22.537779,114.063995,22.53775,114.063995,22.537748,114.06402,22.537762
33;114.104614,22.53769,114.1073,22.537043,114.11071,22.537792,114.114105,22.538397,114.11675,22.539248,114.11812,22.537613,114.12052,22.538683,114.12333,22.54051,114.12619,22.542372,114.129196,22.54384,114.13202,22.545294,114.13391,22.546286,114.13548,22.548014,114.13696,22.548754,114.13548,22.548014,114.13855,22.549732,114.14042,22.549929,114.14221,22.550095,114.14285,22.549913,114.14286,22.549889,114.1432,22.550703,114.143394,22.552181,114.1436,22.5535,114.14387,22.555067,114.14527,22.555264,114.14811,22.555653,114.1508,22.55604,114.15287,22.557299,114.15559,22.559414,114.158295,22.561302,114.16106,22.562222,114.16386,22.562443,114.16645,22.562477,114.16875,22.562534,114.17075,22.56254
1;114.107506,22.537203,114.105316,22.53744
19;114.099976,22.538252,114.09739,22.538225,114.094894,22.538187,114.092415,22.538223,114.08941,22.537817,114.08625,22.537506,114.08359,22.537441,114.08122,22.537172,114.07952,22.53602,114.078316,22.533924,114.07696,22.532093,114.07453,22.531849,114.07227,22.531832,114.07033,22.53181,114.06785,22.531782,114.065475,22.53172,114.06277,22.531687,114.060196,22.531637,114.05809,22.531591,114.05557,22.531572
3;114.0502,22.531492,114.04735,22.531443,114.04439,22.531359,114.04167,22.531105
50;114.02488,22.534216,114.02437,22.536093,114.02413,22.537022,114.02403,22.53739,114.02389,22.537888,114.02362,22.53929,114.02345,22.540318,114.02413,22.539919,114.02245,22.539541,114.02413,22.539919,114.02029,22.539227,114.01825,22.539078,114.016685,22.538588,114.01491,22.538282,114.01389,22.538359,114.01337,22.53949,114.01327,22.539728,114.01331,22.539764,114.01329,22.539778,114.01331,22.53992,114.01329,22.540037,114.01331,22.540241,114.01322,22.540424,114.01311,22.5405,114.01309,22.540598,114.01319,22.540754,114.01306,22.541,114.01262,22.541758,114.01253,22.542143,114.01253,22.542149,114.01253,22.542143,114.01253,22.542149,114.012474,22.542322,114.01243,22.54251,114.01243,22.542513,114.0121,22.54343,114.011246,22.545416,114.00975,22.547472,114.008896,22.54759,114.0081,22.54807,114.00811,22.548073,114.00782,22.548311,114.00834,22.54839,114.00946,22.547607,114.010666,22.54617,114.01143,22.544958,114.01243,22.542513,114.01153,22.54462,114.01153,22.544619,114.01153,22.544615,114.011536,22.544607,114.011635,22.5444,114.01179,22.54414,114.0121,22.543262,114.01209,22.543262,114.0124,22.54296,114.0121,22.54343,114.01413,22.543455,114.01573,22.543821,114.016785,22.544003,114.016785,22.544,114.016785,22.543999,114.01712,22.544043,114.01909,22.54438
24;114.025,22.54536,114.0278,22.546032,114.02925,22.546446,114.02931,22.546465,114.030655,22.546867,114.03237,22.547401,114.033936,22.547876,114.0346,22.548073,114.035286,22.548258,114.035484,22.548315,114.03549,22.548319,114.035706,22.548393,114.035774,22.548426,114.0359,22.548468,114.0359,22.548471,114.03599,22.548498,114.03599,22.548496,114.03599,22.548498,114.03603,22.5485,114.03603,22.548506,114.03603,22.5485,114.03605,22.548512,114.03605,22.548513,114.036156,22.548523,114.03624,22.548546,114.03631,22.548563,114.036316,22.548567,114.03642,22.548597,114.036446,22.548603
